aggregation,seed,n_runs,method,learning_rate,layer,sample_count,median_lag_log10_error,mean_lag_log10_error,positive_lag_coverage,spearman_lag
run,42,1,dp_sgd,0.1,conv1,1,,,0.0,
run,42,1,dp_sgd,0.1,conv2,1,3.247815631952817,3.247815631952817,1.0,
run,42,1,dp_sgd,0.1,fc1,1,5.130195392350075,5.130195392350075,1.0,
run,42,1,dp_sgd,0.1,fc2,1,,,0.0,
run,42,1,dp_fisher_wiener,0.1,conv1,1,,,0.0,
run,42,1,dp_fisher_wiener,0.1,conv2,1,2.8318864845938903,2.8318864845938903,1.0,
run,42,1,dp_fisher_wiener,0.1,fc1,1,3.2686347489133447,3.2686347489133447,1.0,
run,42,1,dp_fisher_wiener,0.1,fc2,1,,,0.0,
run,42,1,dp_fisher_wiener,0.8,conv1,1,,,0.0,
run,42,1,dp_fisher_wiener,0.8,conv2,1,2.6009526804398404,2.6009526804398404,1.0,
run,42,1,dp_fisher_wiener,0.8,fc1,1,3.3881257471905277,3.3881257471905277,1.0,
run,42,1,dp_fisher_wiener,0.8,fc2,1,,,0.0,
