clip_rate,coefficient_mean,coefficient_std,coefficient_cv,norm_q10,norm_q50,norm_q90,norm_q99,coefficient_q10,coefficient_q50,coefficient_q90,contrib_conv1,contrib_conv2,contrib_fc1,contrib_fc2,aggregate_cosine,relative_distortion,clipping_alpha_star,clipping_shape_error,clipped_aggregate_norm,actual_noise_norm,expected_noise_norm,noisy_update_norm,update_norm,diagnostic_snr,method,step,epoch,train_loss,test_loss,test_accuracy,wall_seconds
1.0,6.158629730634857e-06,9.34214605246439e-05,15.169195208246574,2317316.0,11952168.0,27542868.0,58109972.0,3.630938749665802e-08,8.366696135908569e-08,4.3163461782569357e-07,3.3927096865227213e-06,0.029906585812568665,0.9700376987457275,5.228126610745676e-05,0.7491259907085337,0.9999999728029324,2.7197067736885716e-08,0.6624275432360933,0.12271751324096894,1.8980261678292585,1.897935625156794,1.902133001584078,0.001902133001584078,0.06465841707922323,syn_diag,1,1,2.3067173957824707,,,2.0829264409840107
1.0,4.4486557726486353e-07,2.19335609705306e-06,4.930368383415325,2298632.0,12178108.0,32034792.0,40812024.0,3.121888170198872e-08,8.211507918076677e-08,4.35042380786399e-07,2.376496777145576e-09,0.021323420107364655,0.9786763191223145,2.8626337211790087e-07,0.7530245152372553,0.9999999749833312,2.5016669340034874e-08,0.657992461540864,0.12210751176751079,1.901920913656089,1.897935625156794,1.9061131900846866,0.0019061131900846866,0.06433701446399627,syn_diag,2,1,2.316007375717163,,,2.148910129442811
1.0,4.511354291025782e-06,6.191445541466207e-05,13.724135805824174,2779851.25,11763536.0,25232264.0,56787300.0,3.9632517712107074e-08,8.50091623760818e-08,3.597781699227198e-07,8.988178024083027e-07,0.02426159754395485,0.9754424095153809,0.0002950472407974303,0.5575623384073264,0.9999999749636147,2.503638597617286e-08,0.8301350726095874,0.10418438459606971,1.9008806981762958,1.897935625156794,1.903898280867682,0.0019038982808676822,0.054893529166674365,syn_diag,3,1,2.3107049465179443,,,2.211132793687284
1.0,1.552031608298421e-05,0.000141409909684148,9.111277896741194,1858354.625,11949442.0,24905242.0,42145580.0,4.015635113319149e-08,8.369339354885597e-08,5.382232757256133e-07,7.606748567923205e-06,0.032312583178281784,0.9675778150558472,0.00010194860806223005,0.46338561443723836,0.9999999760143029,2.398569817300794e-08,0.8861567425224147,0.10694252904092892,1.8961725153015425,1.897935625156794,1.8994900616421397,0.0018994900616421397,0.05634676309531717,syn_diag,4,1,2.3090403079986572,,,2.277979909442365
1.0,3.5727452996070497e-07,1.3159699816124925e-06,3.6833478287690125,3108310.0,12428898.0,23118942.0,40778448.0,4.32545732564904e-08,8.04594364467448e-08,3.217184598724998e-07,7.135559365600841e-10,0.026664722710847855,0.973334789276123,5.015722877033113e-07,0.5369779586133543,0.9999999724017637,2.7598237386855388e-08,0.8435962730770241,0.10174057333949926,1.9031808491173072,1.897935625156794,1.9057675082201595,0.0019057675082201596,0.05360591370481312,syn_diag,5,1,2.3061628341674805,,,2.341285631991923
1.0,6.350016974465689e-07,4.421782972904198e-06,6.963408233591346,2578049.5,12745988.0,25930590.0,55239016.0,3.856455066397757e-08,7.845780203297181e-08,3.892757831636118e-07,7.395416279365463e-09,0.03842277079820633,0.9615554809570312,2.1799980459036306e-05,0.5094662437919002,0.9999999755636345,2.4436366249382182e-08,0.8604906428433862,0.09524538005186879,1.897018443145243,1.897935625156794,1.8994455587132408,0.0018994455587132409,0.050183672612157275,syn_diag,6,1,2.311445713043213,,,2.402827641926706
1.0,3.4208765100629535e-06,3.1738704981576805e-05,9.277942481757156,3047521.5,13071748.0,30322022.0,72514304.0,3.297963857562536e-08,7.65010668146715e-08,3.28990836351295e-07,2.753453145487583e-07,0.015119101852178574,0.9848438501358032,3.67437896784395e-05,0.6069515535808986,0.9999999786671259,2.133287444287913e-08,0.7947388323175397,0.10280840831007423,1.9022060925194408,1.897935625156794,1.9049332372353853,0.0019049332372353853,0.05416854341491522,syn_diag,7,1,2.309544801712036,,,2.4654403245076537
1.0,9.037586096383166e-06,9.831898371631414e-05,10.87889798332792,3493208.25,12556834.0,25854228.0,38956940.0,3.8678685143622715e-08,7.963822667989007e-08,2.863137069653021e-07,2.6990799142367905e-06,0.023586217314004898,0.9763673543930054,4.373516276245937e-05,0.718100274444366,0.9999999731662801,2.6833720188196937e-08,0.695939649563181,0.11003640161197391,1.8973013566516013,1.897935625156794,1.9005402450257673,0.0019005402450257673,0.05797688823235272,syn_diag,8,1,2.313688039779663,,,2.526998596265912
1.0,5.581969162449241e-06,6.968213823942127e-05,12.483431383042797,2271708.25,12543844.0,25644284.0,42135088.0,3.899516798355762e-08,7.972038673642601e-08,4.4022141310051666e-07,2.4605822090961738e-06,0.03604179248213768,0.9639092683792114,4.6483783080475405e-05,0.6176571685624642,0.9999999703869505,2.961305018497049e-08,0.7864474693917091,0.11478257948519184,1.903927888622941,1.897935625156794,1.9070645420833625,0.0019070645420833626,0.06047759363579512,syn_diag,9,1,2.3030972480773926,,,2.5899942005053163
1.0,2.4310878643518663e-07,8.325988442914041e-07,3.4247853277066116,3405007.5,13108564.0,28266182.0,39754944.0,3.5390044672567456e-08,7.6286006844839e-08,2.9381550348261953e-07,3.968183004410264e-10,0.02421511337161064,0.9757792949676514,5.64828314963961e-06,0.8076554761813566,0.9999999740005865,2.5999413746750757e-08,0.5896546716410414,0.11285713413220495,1.897538637743539,1.897935625156794,1.9014014169635867,0.0019014014169635868,0.05946309908315359,syn_diag,10,1,2.31369686126709,,,2.6509596304968
